interation,polynomial,error,polynomial_best,error_best
487,-0.6490905861514438*x**10 - 0.05507671673552772*x**9 + 0.5562968507323921*x**8 + 0.8207890795594875*x**7 + 1.6410796360071516*x**6 + 2.1643792067798606*x**5 + 0.6866277849922707*x**4 - 1.9302066707131873*x**3 - 5.816116121222183*x**2 + 1.9063926913806903*x + 0.6266348231351876,4.487719470881107,-0.6490905861514438*x**10 - 0.05507671673552772*x**9 + 0.5562968507323921*x**8 + 0.8207890795594875*x**7 + 1.6410796360071516*x**6 + 2.1643792067798606*x**5 + 0.6866277849922707*x**4 - 1.9302066707131873*x**3 - 5.816116121222183*x**2 + 1.9063926913806903*x + 0.6266348231351876,0.2995903693672781
488,-0.6520627654525074*x**10 - 0.05683886775557236*x**9 + 0.5560128674063358*x**8 + 0.8221418027525229*x**7 + 1.6439360676851855*x**6 + 2.1679874504342034*x**5 + 0.6891381306992354*x**4 - 1.9319518870761803*x**3 - 5.82379299704142*x**2 + 1.9109297755739605*x + 0.626171332085866,4.483776652452305,-0.6520627654525074*x**10 - 0.05683886775557236*x**9 + 0.5560128674063358*x**8 + 0.8221418027525229*x**7 + 1.6439360676851855*x**6 + 2.1679874504342034*x**5 + 0.6891381306992354*x**4 - 1.9319518870761803*x**3 - 5.82379299704142*x**2 + 1.9109297755739605*x + 0.626171332085866,0.2994587334659754
489,-0.6550331870991125*x**10 - 0.05860007906789135*x**9 + 0.5557288778442343*x**8 + 0.8234935283346295*x**7 + 1.646790658805877*x**6 + 2.171593547725266*x**5 + 0.6916472270085552*x**4 - 1.9336955006200522*x**3 - 5.831464599795749*x**2 + 1.9154630452988257*x + 0.6257083377442018,4.479839338340713,-0.6550331870991125*x**10 - 0.05860007906789135*x**9 + 0.5557288778442343*x**8 + 0.8234935283346295*x**7 + 1.646790658805877*x**6 + 2.171593547725266*x**5 + 0.6916472270085552*x**4 - 1.9336955006200522*x**3 - 5.831464599795749*x**2 + 1.9154630452988257*x + 0.6257083377442018,0.2993272235644701
490,-0.6580018497284842*x**10 - 0.06036034911325468*x**9 + 0.5554448836859779*x**8 + 0.8248442577872931*x**7 + 1.6496434102504631*x**6 + 2.175197498190411*x**5 + 0.69415507104072*x**4 - 1.9354375175255751*x**3 - 5.8391309364482575*x**2 + 1.9199925127000372*x + 0.6252458376288201,4.475907517684871,-0.6580018497284842*x**10 - 0.06036034911325468*x**9 + 0.5554448836859779*x**8 + 0.8248442577872931*x**7 + 1.6496434102504631*x**6 + 2.175197498190411*x**5 + 0.69415507104072*x**4 - 1.9354375175255751*x**3 - 5.8391309364482575*x**2 + 1.9199925127000372*x + 0.6252458376288201,0.299195839465888
491,-0.6609687520062572*x**10 - 0.06211967635728346*x**9 + 0.5551608865524226*x**8 + 0.8261939925818841*x**7 + 1.6524943229030615*x**6 + 2.1787993013876927*x**5 + 0.6966616599586388*x**4 - 1.9371779439130337*x**3 - 5.8467920139186145*x**2 + 1.9245181898082138*x + 0.624783829283692,4.4719811796821,-0.6609687520062572*x**10 - 0.06211967635728346*x**9 + 0.5551608865524226*x**8 + 0.8261939925818841*x**7 + 1.6524943229030615*x**6 + 2.1787993013876927*x**5 + 0.6966616599586388*x**4 - 1.9371779439130337*x**3 - 5.8467920139186145*x**2 + 1.9245181898082138*x + 0.624783829283692,0.29906458097481553
492,-0.6639338926261549*x**10 - 0.06387805929017389*x**9 + 0.5548768880455969*x**8 + 0.8275427341797645*x**7 + 1.6553433976506353*x**6 + 2.182398956895625*x**5 + 0.6991669909671594*x**4 - 1.9389167858428833*x**3 - 5.854447839083498*x**2 + 1.929040088541077*x + 0.6243223102778404,4.468060313587841,-0.6639338926261549*x**10 - 0.06387805929017389*x**9 + 0.5548768880455969*x**8 + 0.8275427341797645*x**7 + 1.6553433976506353*x**6 + 2.182398956895625*x**5 + 0.6991669909671594*x**4 - 1.9389167858428833*x**3 - 5.854447839083498*x**2 + 1.929040088541077*x + 0.6243223102778404,0.2989334478972817
493,-0.6668972703096723*x**10 - 0.06563549642642114*x**9 + 0.5545928897489123*x**8 + 0.8288904840323932*x**7 + 1.6581906353829492*x**6 + 2.1859964643129497*x**5 + 0.7016710613126057*x**4 - 1.9406540493164066*x**3 - 5.862098418777056*x**2 + 1.9335582207046773*x + 0.6238612782050739,4.464144908715048,-0.6668972703096723*x**10 - 0.06563549642642114*x**9 + 0.5545928897489123*x**8 + 0.8288904840323932*x**7 + 1.6581906353829492*x**6 + 2.1859964643129497*x**5 + 0.7016710613126057*x**4 - 1.9406540493164066*x**3 - 5.862098418777056*x**2 + 1.9335582207046773*x + 0.6238612782050739,0.2988024400407416
494,-0.6698588838057618*x**10 - 0.06739198630454753*x**9 + 0.5543088932273663*x**8 + 0.8302372435814305*x**7 + 1.661036036992531*x**6 + 2.1895918232583993*x**5 + 0.7041738682823133*x**4 - 1.9423897402763541*x**3 - 5.869743759791355*x**2 + 1.938072597994614*x + 0.623400730683716,4.460234954433532,-0.6698588838057618*x**10 - 0.06739198630454753*x**9 + 0.5543088932273663*x**8 + 0.8302372435814305*x**7 + 1.661036036992531*x**6 + 2.1895918232583993*x**5 + 0.7041738682823133*x**4 - 1.9423897402763541*x**3 - 5.869743759791355*x**2 + 1.938072597994614*x + 0.623400730683716,0.2986715572140585
495,-0.6728187318905221*x**10 - 0.0691475274868332*x**9 + 0.5540249000277464*x**8 + 0.8315830142588422*x**7 + 1.6638796033746355*x**6 + 2.193185033370467*x**5 + 0.7066754092041716*x**4 - 1.9441238646075882*x**3 - 5.877383868876815*x**2 + 1.9425832319972347*x + 0.622940665356338,4.456330440169367,-0.6728187318905221*x**10 - 0.0691475274868332*x**9 + 0.5540249000277464*x**8 + 0.8315830142588422*x**7 + 1.6638796033746355*x**6 + 2.193185033370467*x**5 + 0.7066754092041716*x**4 - 1.9441238646075882*x**3 - 5.877383868876815*x**2 + 1.9425832319972347*x + 0.622940665356338,0.29854079922748805
496,-0.6757768133668929*x**10 - 0.07090211855905079*x**9 + 0.5537409116788312*x**8 + 0.8329277974870029*x**7 + 1.6667213354272046*x**6 + 2.1967760943071797*x**5 + 0.7091756814461706*x**4 - 1.9458564281377122*x**3 - 5.885018752742648*x**2 + 1.9470901341908253*x + 0.6224810798894864,4.452431355404273,-0.6757768133668929*x**10 - 0.07090211855905079*x**9 + 0.5537409116788312*x**8 + 0.8329277974870029*x**7 + 1.6667213354272046*x**6 + 2.1967760943071797*x**5 + 0.7091756814461706*x**4 - 1.9458564281377122*x**3 - 5.885018752742648*x**2 + 1.9470901341908253*x + 0.6224810798894864,0.298410165892661
