interation,polynomial,error,polynomial_best,error_best
593,-0.5062381433300429*x**10 - 0.4961007409197785*x**9 + 0.26079928070897934*x**8 + 1.855784659817401*x**7 + 2.178297753156681*x**6 + 2.328246674039557*x**5 + 0.8990751210156511*x**4 - 2.6912701965580936*x**3 - 7.232264767286398*x**2 + 3.203245322130069*x + 0.4358476506453168,3.414044815935065,-0.5062381433300429*x**10 - 0.4961007409197785*x**9 + 0.26079928070897934*x**8 + 1.855784659817401*x**7 + 2.178297753156681*x**6 + 2.328246674039557*x**5 + 0.8990751210156511*x**4 - 2.6912701965580936*x**3 - 7.232264767286398*x**2 + 3.203245322130069*x + 0.4358476506453168,0.2613061352488711
594,-0.5088093090310563*x**10 - 0.497645469278729*x**9 + 0.26050881857180297*x**8 + 1.8568914432199544*x**7 + 2.18070573692959*x**6 + 2.3313356790812727*x**5 + 0.9012721727879076*x**4 - 2.6926971040739827*x**3 - 7.238767511062056*x**2 + 3.2070486852566016*x + 0.4354619312309821,3.4115684949635146,-0.5088093090310563*x**10 - 0.497645469278729*x**9 + 0.26050881857180297*x**8 + 1.8568914432199544*x**7 + 2.18070573692959*x**6 + 2.3313356790812727*x**5 + 0.9012721727879076*x**4 - 2.6926971040739827*x**3 - 7.238767511062056*x**2 + 3.2070486852566016*x + 0.4354619312309821,0.2612113510153613
595,-0.5113788991487569*x**10 - 0.4991893379339266*x**9 + 0.26021839219488835*x**8 + 1.8579973994344723*x**7 + 2.183112153739565*x**6 + 2.334422826614108*x**5 + 0.9034680873029615*x**4 - 2.6941227710856372*x**3 - 7.2452658814474225*x**2 + 3.210849030882244*x + 0.43507658691005757,3.409095751091294,-0.5113788991487569*x**10 - 0.4991893379339266*x**9 + 0.26021839219488835*x**8 + 1.8579973994344723*x**7 + 2.183112153739565*x**6 + 2.334422826614108*x**5 + 0.9034680873029615*x**4 - 2.6941227710856372*x**3 - 7.2452658814474225*x**2 + 3.210849030882244*x + 0.43507658691005757,0.26111666936797784
596,-0.5139469130567899*x**10 - 0.500732346009209*x**9 + 0.2599280026472029*x**8 + 1.8591025295757642*x**7 + 2.185517004444618*x**6 + 2.337508116691112*x**5 + 0.9056628629581848*x**4 - 2.695547201693989*x**3 - 7.251759883596408*x**2 + 3.214646367065612*x + 0.43469161609375917,3.4066265769988306,-0.5139469130567899*x**10 - 0.500732346009209*x**9 + 0.2599280026472029*x**8 + 1.8591025295757642*x**7 + 2.185517004444618*x**6 + 2.337508116691112*x**5 + 0.9056628629581848*x**4 - 2.695547201693989*x**3 - 7.251759883596408*x**2 + 3.214646367065612*x + 0.43469161609375917,0.26102209013793565
597,-0.5165133501466858*x**10 - 0.5022744926441901*x**9 + 0.25963765098543024*x**8 + 1.8602068347517673*x**7 + 2.187920289903851*x**6 + 2.340591549377492*x**5 + 0.9078564981768006*x**4 - 2.6969703999622867*x**3 - 7.258249522634844*x**2 + 3.2184407017952212*x + 0.4343070172086319,3.4041609654060196,-0.5165133501466858*x**10 - 0.5022744926441901*x**9 + 0.25963765098543024*x**8 + 1.8602068347517673*x**7 + 2.187920289903851*x**6 + 2.340591549377492*x**5 + 0.9078564981768006*x**4 - 2.6969703999622867*x**3 - 7.258249522634844*x**2 + 3.2184407017952212*x + 0.4343070172086319,0.2609276131575966
598,-0.5190782098276672*x**10 - 0.5038157769940887*x**9 + 0.25934733825410033*x**8 + 1.8613103160636169*x**7 + 2.1903220109774555*x**6 + 2.3436731247504725*x**5 + 0.910048991407604*x**4 - 2.6983923699164896*x**3 - 7.264734803660765*x**2 + 3.22223204299021*x + 0.4339227886963816,3.4016989090718224,-0.5190782098276672*x**10 - 0.5038157769940887*x**9 + 0.25934733825410033*x**8 + 1.8613103160636169*x**7 + 2.1903220109774555*x**6 + 2.3436731247504725*x**5 + 0.910048991407604*x**4 - 2.6983923699164896*x**3 - 7.264734803660765*x**2 + 3.22223204299021*x + 0.4339227886963816,0.26083323826045723
599,-0.5216414915264522*x**10 - 0.5053561982295599*x**9 + 0.2590570654857211*x**8 + 1.8624129746057165*x**7 + 2.192722168526683*x**6 + 2.34675284289915*x**5 + 0.9122403411246806*x**4 - 2.699813115545671*x**3 - 7.271215731744675*x**2 + 3.2260203985010785*x + 0.4335389290137261,3.3992404007938744,-0.5216414915264522*x**10 - 0.5053561982295599*x**9 + 0.2590570654857211*x**8 + 1.8624129746057165*x**7 + 2.192722168526683*x**6 + 2.34675284289915*x**5 + 0.9122403411246806*x**4 - 2.699813115545671*x**3 - 7.271215731744675*x**2 + 3.2260203985010785*x + 0.4335389290137261,0.2607389652811361
600,-0.524203194687059*x**10 - 0.5068957555365238*x**9 + 0.25876683370090464*x**8 + 1.863514811465803*x**7 + 2.1951207634138257*x**6 + 2.349830703924377*x**5 + 0.9144305458271402*x**4 - 2.701232640802401*x**3 - 7.277692311929855*x**2 + 3.2298057761104064*x + 0.4331554366322392,3.396785433408087,-0.524203194687059*x**10 - 0.5068957555365238*x**9 + 0.25876683370090464*x**8 + 1.863514811465803*x**7 + 2.1951207634138257*x**6 + 2.349830703924377*x**5 + 0.9144305458271402*x**4 - 2.701232640802401*x**3 - 7.277692311929855*x**2 + 3.2298057761104064*x + 0.4331554366322392,0.2606447940553614
601,-0.5267633187706192*x**10 - 0.5084344481160025*x**9 + 0.25847664390849606*x**8 + 1.8646158277250158*x**7 + 2.1975177965022024*x**6 + 2.352906707938611*x**5 + 0.9166196040388362*x**4 - 2.702650949603128*x**3 - 7.284164549232577*x**2 + 3.233588183533558*x + 0.4327723100381696,3.3943339997882367,-0.5267633187706192*x**10 - 0.5084344481160025*x**9 + 0.25847664390849606*x**8 + 1.8646158277250158*x**7 + 2.1975177965022024*x**6 + 2.352906707938611*x**5 + 0.9166196040388362*x**4 - 2.702650949603128*x**3 - 7.284164549232577*x**2 + 3.233588183533558*x + 0.4327723100381696,0.2605507244199577
602,-0.5293218632551849*x**10 - 0.509972275183952*x**9 + 0.2581864971056981*x**8 + 1.8657160244579674*x**7 + 2.1999132686561387*x**6 + 2.355980855065792*x**5 + 0.9188075143081033*x**4 - 2.7040680458285613*x**3 - 7.29063244864243*x**2 + 3.237367628419386*x + 0.4323895477323179,3.3918860928456214,-0.5293218632551849*x**10 - 0.509972275183952*x**9 + 0.2581864971056981*x**8 + 1.8657160244579674*x**7 + 2.1999132686561387*x**6 + 2.355980855065792*x**5 + 0.9188075143081033*x**4 - 2.7040680458285613*x**3 - 7.29063244864243*x**2 + 3.237367628419386*x + 0.4323895477323179,0.26045675621283554
